
Name                                     DisplayName                                                                         Status StartType
----                                     -----------                                                                         ------ ---------
MapsBroker                               Downloaded Maps Manager                                                            Stopped Automatic
webthreatdefusersvc_42d01                Web Threat Defense User Service_42d01                                              Running Automatic
OneSyncSvc_42d01                         Sync Host_42d01                                                                    Running Automatic
nsi                                      Network Store Interface Service                                                    Running Automatic
Dhcp                                     DHCP Client                                                                        Running Automatic
ShellHWDetection                         Shell Hardware Detection                                                           Running Automatic
gpsvc                                    Group Policy Client                                                                Running Automatic
VaultSvc                                 Credential Manager                                                                 Running Automatic
CoreMessagingRegistrar                   CoreMessaging                                                                      Running Automatic
whesvc                                   Windows Health and Optimized Experiences                                           Running Automatic
WinDefend                                Microsoft Defender Antivirus Service                                               Running Automatic
SENS                                     System Event Notification Service                                                  Running Automatic
DcomLaunch                               DCOM Server Process Launcher                                                       Running Automatic
UserManager                              User Manager                                                                       Running Automatic
CryptSvc                                 Cryptographic Services                                                             Running Automatic
TermService                              Remote Desktop Services                                                            Running Automatic
SystemEventsBroker                       System Events Broker                                                               Running Automatic
W32Time                                  Windows Time                                                                       Running Automatic
DusmSvc                                  Data Usage                                                                         Running Automatic
DPS                                      Diagnostic Policy Service                                                          Running Automatic
SysMain                                  SysMain                                                                            Running Automatic
EventLog                                 Windows Event Log                                                                  Running Automatic
mpssvc                                   Windows Defender Firewall                                                          Running Automatic
StateRepository                          State Repository Service                                                           Running Automatic
EventSystem                              COM+ Event System                                                                  Running Automatic
Wcmsvc                                   Windows Connection Manager                                                         Running Automatic
MDCoreSvc                                Microsoft Defender Core Service                                                    Running Automatic
FontCache                                Windows Font Cache Service                                                         Running Automatic
DispBrokerDesktopSvc                     Display Policy Service                                                             Running Automatic
Spooler                                  Print Spooler                                                                      Running Automatic
sppsvc                                   Software Protection                                                                Stopped Automatic
spice-agent                              Spice Agent                                                                        Running Automatic
Dnscache                                 DNS Client                                                                         Running Automatic
LSM                                      Local Session Manager                                                              Running Automatic
AudioEndpointBuilder                     Windows Audio Endpoint Builder                                                     Running Automatic
Audiosrv                                 Windows Audio                                                                      Running Automatic
WSearch                                  Windows Search                                                                     Running Automatic
wscsvc                                   Security Center                                                                    Running Automatic
BalloonService                           BalloonService                                                                     Running Automatic
RpcSs                                    Remote Procedure Call (RPC)                                                        Running Automatic
WSAIFabricSvc                            WSAIFabricSvc                                                                      Running Automatic
WpnUserService_42d01                     Windows Push Notifications User Service_42d01                                      Running Automatic
LanmanServer                             Server                                                                             Running Automatic
TrkWks                                   Distributed Link Tracking Client                                                   Running Automatic
LanmanWorkstation                        Workstation                                                                        Running Automatic
QEMU-GA                                  QEMU Guest Agent                                                                   Running Automatic
KeyIso                                   CNG Key Isolation                                                                  Running Automatic
AppXSvc                                  AppX Deployment Service (AppXSVC)                                                  Running Automatic
ProfSvc                                  User Profile Service                                                               Running Automatic
RpcEptMapper                             RPC Endpoint Mapper                                                                Running Automatic
SamSs                                    Security Accounts Manager                                                          Running Automatic
cbdhsvc_42d01                            Clipboard User Service_42d01                                                       Running Automatic
Schedule                                 Task Scheduler                                                                     Running Automatic
iphlpsvc                                 IP Helper                                                                          Running Automatic
CDPUserSvc_42d01                         Connected Devices Platform User Service_42d01                                      Running Automatic
Winmgmt                                  Windows Management Instrumentation                                                 Running Automatic
TextInputManagementService               Text Input Management Service                                                      Running Automatic
Themes                                   Themes                                                                             Running Automatic
Power                                    Power                                                                              Running Automatic
BITS                                     Background Intelligent Transfer Service                                            Running Automatic
BFE                                      Base Filtering Engine                                                              Running Automatic
BrokerInfrastructure                     Background Tasks Infrastructure Service                                            Running Automatic
BthAvctpSvc                              AVCTP service                                                                      Running Automatic
TapiSrv                                  Telephony                                                                          Stopped    Manual
RasMan                                   Remote Access Connection Manager                                                   Stopped    Manual
TieringEngineService                     Storage Tiers Management                                                           Stopped    Manual
TimeBrokerSvc                            Time Broker                                                                        Running    Manual
swprv                                    Microsoft Software Shadow Copy Provider                                            Stopped    Manual
TokenBroker                              Web Account Manager                                                                Running    Manual
svsvc                                    Spot Verifier                                                                      Stopped    Manual
seclogon                                 Secondary Logon                                                                    Stopped    Manual
SDRSVC                                   Windows Backup                                                                     Stopped    Manual
SCPolicySvc                              Smart Card Removal Policy                                                          Stopped    Manual
Sense                                    Windows Defender Advanced Threat Protection Service                                Stopped    Manual
SEMgrSvc                                 Payments and NFC/SE Manager                                                        Stopped    Manual
SecurityHealthService                    Windows Security Service                                                           Running    Manual
RmSvc                                    Radio Management Service                                                           Running    Manual
RetailDemo                               Retail Demo Service                                                                Stopped    Manual
refsdedupsvc                             ReFS Dedup Service                                                                 Stopped    Manual
ScDeviceEnum                             Smart Card Device Enumeration Service                                              Stopped    Manual
SCardSvr                                 Smart Card                                                                         Stopped    Manual
RpcLocator                               Remote Procedure Call (RPC) Locator                                                Stopped    Manual
SSDPSRV                                  SSDP Discovery                                                                     Running    Manual
SNMPTrap                                 SNMP Trap                                                                          Stopped    Manual
SmsRouter                                Microsoft Windows SMS Router Service.                                              Stopped    Manual
StorSvc                                  Storage Service                                                                    Stopped    Manual
StiSvc                                   Windows Image Acquisition (WIA)                                                    Stopped    Manual
SstpSvc                                  Secure Socket Tunneling Protocol Service                                           Stopped    Manual
SensrSvc                                 Sensor Monitoring Service                                                          Stopped    Manual
SensorService                            Sensor Service                                                                     Stopped    Manual
SensorDataService                        Sensor Data Service                                                                Stopped    Manual
smphost                                  Microsoft Storage Spaces SMP                                                       Stopped    Manual
SharedAccess                             Internet Connection Sharing (ICS)                                                  Stopped    Manual
SessionEnv                               Remote Desktop Configuration                                                       Stopped    Manual
WinRM                                    Windows Remote Management (WS-Management)                                          Stopped    Manual
WinHttpAutoProxySvc                      WinHTTP Web Proxy Auto-Discovery Service                                           Running    Manual
WiaRpc                                   Still Image Acquisition Events                                                     Stopped    Manual
wlidsvc                                  Microsoft Account Sign-in Assistant                                                Running    Manual
WlanSvc                                  WLAN AutoConfig                                                                    Stopped    Manual
wisvc                                    Windows Insider Service                                                            Stopped    Manual
WFDSConMgrSvc                            Wi-Fi Direct Services Connection Manager Service                                   Stopped    Manual
Wecsvc                                   Windows Event Collector                                                            Stopped    Manual
webthreatdefsvc                          Web Threat Defense Service                                                         Stopped    Manual
WebClient                                WebClient                                                                          Stopped    Manual
WerSvc                                   Windows Error Reporting Service                                                    Stopped    Manual
wercplsupport                            Problem Reports Control Panel Support                                              Stopped    Manual
WEPHOSTSVC                               Windows Encryption Provider Host Service                                           Stopped    Manual
wlpasvc                                  Local Profile Assistant Service                                                    Stopped    Manual
XblGameSave                              Xbox Live Game Save                                                                Stopped    Manual
XblAuthManager                           Xbox Live Auth Manager                                                             Stopped    Manual
WwanSvc                                  WWAN AutoConfig                                                                    Stopped    Manual
ZTHELPER                                 ZTDNS Helper service                                                               Stopped    Manual
XboxNetApiSvc                            Xbox Live Networking Service                                                       Stopped    Manual
XboxGipSvc                               Xbox Accessory Management Service                                                  Stopped    Manual
wuqisvc                                  Microsoft Usage and Quality Insights                                               Stopped    Manual
WpcMonSvc                                Parental Controls                                                                  Stopped    Manual
wmiApSrv                                 WMI Performance Adapter                                                            Stopped    Manual
WManSvc                                  Windows Management Service                                                         Stopped    Manual
wuauserv                                 Windows Update                                                                     Stopped    Manual
WpnService                               Windows Push Notifications System Service                                          Stopped    Manual
